"시도명(1)","시군구(1)",2024.04
"시도명(1)","시군구(1)",총계
"시도명(1)","시군구(1)",계
"경북","울진군",28384
"경북","의성군",34223
"경북","청도군",27541
"경북","청송군",16910
"경북","칠곡군",74027
"경북","포항시 남구",135392
"경북","포항시 북구",151579
"경남","계",1956778
"경남","고성군",28873
"경남","거제시",112736
"경남","거창군",35836
"경남","김해시",299687
"경남","남해군",21607
"경남","밀양시",63063
"경남","사천시",61788
"경남","산청군",22511
"경남","양산시",189426
"경남","의령군",16455
"경남","진주시",181007
"경남","창녕군",37544
"경남","창원시 마산합포구",105056
"경남","창원시 마산회원구",114897
"경남","창원시 성산구",235126
"경남","창원시 의창구",123983
"경남","창원시 진해구",99448
"경남","통영시",55415
"경남","하동군",25210
"경남","함안군",80211
"경남","함양군",21411
"경남","합천군",25488
"제주","계",706411
"제주","서귀포시",110477
"제주","제주시",595934
